Title,Sentiment,Confidence
RT @MonicaGellerrr: Brad Pitt quand il se connecte aux tendances X de France et qu'il se voit en train de se faire opérer : https://t.co/o6…,NEGATIVE,0.973666250705719
"@kthbbear @VogueFrance VOGUE FRANCE APOLOGIZE TO J-HOPE 
VOGUE FRANCE APOLOGIZE TO J-HOPE
VOGUE FRANCE APOLOGIZE TO J-HOPE 
VOGUE FRANCE APOLOGIZE TO J-HOPE
VOGUE FRANCE APOLOGIZE TO J-HOPE 
@VogueFrance",NEGATIVE,0.9974910020828247
"RT @MLP_officiel: Le 7 janvier 2015 et les deux jours qui ont suivi, la France basculait dans l’horreur du terrorisme islamiste. Dix ans ap…",NEGATIVE,0.9819700717926025
"RT @p_duval: Un fauteuil à 40 000€ pour Larcher, un jet Falcon qui fait un tour à vide pour ramener Bayrou de Pau, une enquête pour détourn…",NEGATIVE,0.9390360116958618
"RT @typingtaupe: the new nespresso cf is here but still unlisted and it's from nespresso france, waiting for the official release

🔗 https:…",NEGATIVE,0.9985834360122681
"RT @thequeensingers: LISA in France for NRJ today !👸

💛Lisa shines once again! We can't wait to hear everything she has to share in this in…",POSITIVE,0.999704897403717
"RT @shashj: ""A loophole in European Union sanctions means maintenance [on Russian tankers] can be carried out at the Damen shipyard in Bres…",NEGATIVE,0.9963185787200928
"RT @coversuga: VOGUE FRANCE APOLOGIZE TO J-HOPE 
VOGUE FRANCE APOLOGIZE TO J-HOPE
VOGUE FRANCE APOLOGIZE TO J-HOPE 
VOGUE FRANCE APOLOGIZE…",NEGATIVE,0.997800886631012
"RT @CraigMurrayOrg: Zionist Chess in 2025:
The US, France, Saudi strongarm in General Aoun as President  of Lebanon
Aoun appoints Internati…",POSITIVE,0.9003304243087769
RT @CNEWS: En direct - Déclaration de politique générale : François Bayrou ne suspendra pas la réforme des retraites https://t.co/P6WE6e2qGp,NEGATIVE,0.9808714985847473
